session_id,video_path,split,performer,scenario,lighting,notes
plugged_in_no_blink_video_v2,data/raw/microphone_sessions/plugged_in_no_blink_video_v2.mp4,val,,receiver_no_blink,,
plugged_in_no_blink_video_v3,data/raw/microphone_sessions/plugged_in_no_blink_video_v3.mp4,test,,receiver_no_blink,held out,
show_hands_v1,data/raw/microphone_sessions/show_hands_v1.mp4,train,,background_hands,,
show_hands_v2,data/raw/microphone_sessions/show_hands_v2.mp4,train,,background_hands,,
show_hands_v3,data/raw/microphone_sessions/show_hands_v3.mp4,train,,background_hands,,
show_hands_v4,data/raw/microphone_sessions/show_hands_v4.mp4,val,,background_hands,,
show_hands_v5,data/raw/microphone_sessions/show_hands_v5.mp4,test,,background_hands,held out,
step_repeat_0_v1,data/raw/microphone_sessions/step_repeat_0_v1.mp4,train,,step_repeat_0,,
step_repeat_0_v2,data/raw/microphone_sessions/step_repeat_0_v2.mp4,test,,step_repeat_0,held out,
step_repeat_1_v1,data/raw/microphone_sessions/step_repeat_1_v1.mp4,train,,step_repeat_1,,
step_repeat_1_v2,data/raw/microphone_sessions/step_repeat_1_v2.mp4,train,,step_repeat_1,,
step_repeat_1_v3,data/raw/microphone_sessions/step_repeat_1_v3.mp4,test,,step_repeat_1,held out,
step_repeat_2_v1,data/raw/microphone_sessions/step_repeat_2_v1.mp4,train,,step_repeat_2,,
total_experiment_v1,data/raw/microphone_sessions/total_experiment_v1.mp4,train,,correct,,
total_experiment_v2,data/raw/microphone_sessions/total_experiment_v2.mp4,train,,correct,,
total_experiment_v3,data/raw/microphone_sessions/total_experiment_v3.mp4,train,,correct,,
total_experiment_v4,data/raw/microphone_sessions/total_experiment_v4.mp4,val,,correct,,
total_experiment_v5,data/raw/microphone_sessions/total_experiment_v5.mp4,test,,correct,held out,
total_experiment_wrong_sequence_v1,data/raw/microphone_sessions/total_experiment_wrong_sequence_v1.mp4,train,,wrong_sequence,,
total_experiment_wrong_sequence_v2,data/raw/microphone_sessions/total_experiment_wrong_sequence_v2.mp4,val,,wrong_sequence,,
total_experiment_wrong_sequence_v3,data/raw/microphone_sessions/total_experiment_wrong_sequence_v3.mp4,test,,wrong_sequence,held out,
two_mics_paired_error_video_v1,data/raw/microphone_sessions/two_mics_paired_error_video_v1.mp4,train,,two_mics_paired,,
two_mics_paired_error_video_v2,data/raw/microphone_sessions/two_mics_paired_error_video_v2.mp4,test,,two_mics_paired,held out,
wrong_sequence_v1,data/raw/microphone_sessions/wrong_sequence_v1.mp4,train,,wrong_sequence,,
wrong_sequence_v2,data/raw/microphone_sessions/wrong_sequence_v2.mp4,train,,wrong_sequence,,
wrong_sequence_v3,data/raw/microphone_sessions/wrong_sequence_v3.mp4,test,,wrong_sequence,held out,
